source_id;listing_url;image_url;RoomType;Luxury;Brightness;Condition;image_name;image_path;default_image;room_type;scoring_dict
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0048.jpg;kitchen;yes;yes;new;20277732_eaa711a75a.jpg;raw_data/suumo_images/20277732/20277732_eaa711a75a.jpg;1;kitchen;{'luxury': 0.37890625, 'brightness': 0.26953125, 'condition': 0.5625}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0034.jpg;living room;yes;yes;new;20277732_7c57695877.jpg;raw_data/suumo_images/20277732/20277732_7c57695877.jpg;1;floor plan;{'luxury': -1000, 'brightness': -1000, 'condition': -1000}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0037.jpg;living room;yes;yes;new;20277732_274be42c2b.jpg;raw_data/suumo_images/20277732/20277732_274be42c2b.jpg;1;bathroom;{'luxury': 0.37890625, 'brightness': 0.22265625, 'condition': 0.4375}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0029.jpg;kitchen;yes;yes;new;20277732_c35b746f90.jpg;raw_data/suumo_images/20277732/20277732_c35b746f90.jpg;1;kitchen;{'luxury': 0.4375, 'brightness': 0.18359375, 'condition': 0.5}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0041.jpg;bedroom;no;yes;old;20277732_bbd7ffee05.jpg;raw_data/suumo_images/20277732/20277732_bbd7ffee05.jpg;1;bathroom;{'luxury': 0.53125, 'brightness': 0.1328125, 'condition': 0.46875}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0043.jpg;bathroom;yes;yes;new;20277732_8b8db667cb.jpg;raw_data/suumo_images/20277732/20277732_8b8db667cb.jpg;1;bathroom;{'luxury': 0.62109375, 'brightness': 0.1640625, 'condition': 0.29296875}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0046.jpg;bathroom;yes;yes;new;20277732_1960d74b75.jpg;raw_data/suumo_images/20277732/20277732_1960d74b75.jpg;1;bathroom;{'luxury': 0.3203125, 'brightness': 0.203125, 'condition': 0.40625}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0030.jpg;toilet;no;no;new;20277732_faffd87445.jpg;raw_data/suumo_images/20277732/20277732_faffd87445.jpg;1;toilet;{'luxury': 0.4375, 'brightness': 0.1328125, 'condition': 0.24609375}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0033.jpg;living room;yes;yes;new;20277732_b73d3274dd.jpg;raw_data/suumo_images/20277732/20277732_b73d3274dd.jpg;1;floor plan;{'luxury': -1000, 'brightness': -1000, 'condition': -1000}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0040.jpg;bedroom;no;no;new;20277732_5d00c94ccb.jpg;raw_data/suumo_images/20277732/20277732_5d00c94ccb.jpg;1;bedroom;{'luxury': 0.34765625, 'brightness': 0.1484375, 'condition': 0.203125}
20277732;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/;https://suumo.jp/front/gazo/bukken/030/N010000/img/732/20277732/20277732_0047.jpg;floor plan;;;;20277732_3cebe44321.jpg;raw_data/suumo_images/20277732/20277732_3cebe44321.jpg;1;floor plan;{'luxury': -1000, 'brightness': -1000, 'condition': -1000}
20332918;https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20332918/;https://suumo.jp/front/gazo/bukken/030/N010000/img/918/20332918/20332918_0004.jpg;floor plan;;;;20332918_6d1b5429ab.jpg;raw_data/suumo_images/20332918/20332918_6d1b5429ab.jpg;1;floor plan;{'luxury': -1000, 'brightness': -1000, 'condition': -1000}
